Website,http,https
www.katalyst.com.bd,<Response [406]>,<Response [406]>
www.samdani.com.bd,<Response [200]>,<Response [200]>
ubsbd.com.bd,<Response [200]>,<Response [200]>
www.venture.com.bd,<Response [200]>,<Response [200]>
www.weddingdiary.com.bd,<Response [200]>,not reachable
fbs.com.bd,<Response [200]>,<Response [200]>
www.bangladesh.gov.bd,<Response [200]>,not reachable
www.intercloud.com.bd,<Response [200]>,<Response [200]>
cslsoft.com.bd,not reachable,not reachable
thefinancialexpress.com.bd,<Response [200]>,<Response [200]>
www.bmw.com.bd/en/index.htm,<Response [404]>,<Response [404]>
www.online-banking.standardchartered.com,<Response [200]>,<Response [200]>
www.tss.com.bd,<Response [403]>,<Response [403]>
brothersfurniture.com.bd,<Response [200]>,<Response [200]>
www.intefa.com.bd,<Response [200]>,<Response [200]>
corporatenews.com.bd,<Response [406]>,<Response [406]>
olefins.com.bd,<Response [200]>,<Response [200]>
www.foodiez.com.bd,<Response [200]>,not reachable
www.mi.com,<Response [200]>,<Response [200]>
hotel.com.bd,<Response [200]>,<Response [200]>
zerogravity.com.bd,<Response [200]>,<Response [200]>
tour.com.bd,<Response [406]>,<Response [406]>
www.pizzainn.com.bd,<Response [200]>,not reachable
hansa.com.bd,<Response [200]>,not reachable
www.americanexpress.com.bd/personal/membership_rewards.htm,<Response [404]>,<Response [404]>
www.prothomalo.com,<Response [200]>,<Response [200]>
www.fairandlovelyfoundation.com.bd,<Response [200]>,<Response [200]>
www.bpsc.gov.bd,<Response [200]>,not reachable
www.dss.gov.bd,<Response [200]>,not reachable
myteletalk.com.bd,<Response [200]>,<Response [200]>
hostingreviews.com.bd,<Response [200]>,<Response [200]>
moedu.gov.bd,<Response [200]>,not reachable
www.reb.gov.bd,<Response [200]>,not reachable
www.lenovo.com,<Response [200]>,<Response [200]>
mopa.gov.bd,<Response [200]>,not reachable
www.dpe.gov.bd,<Response [200]>,not reachable
www.dsebd.org,<Response [200]>,not reachable
www.fireservice.gov.bd,<Response [200]>,not reachable
translate.google.com,<Response [200]>,<Response [200]>
www.bwdb.gov.bd,<Response [200]>,<Response [200]>
www.bteb.gov.bd,<Response [200]>,not reachable
acc.org.bd,<Response [200]>,not reachable
www.dshe.gov.bd,<Response [200]>,not reachable
www.nothi.gov.bd,<Response [200]>,<Response [200]>
www.sslcommerz.com,<Response [200]>,<Response [200]>
www.pallisanchaybank.gov.bd,<Response [200]>,not reachable
www.manobkantha.com.bd,<Response [200]>,<Response [200]>
www.techedu.gov.bd,<Response [200]>,not reachable
passport.gov.bd/onlinestatus.asp,<Response [404]>,not reachable
www.ebek-rdcd.gov.bd,<Response [200]>,not reachable
www.shed.gov.bd,<Response [200]>,not reachable
bdpost.gov.bd,<Response [200]>,not reachable
fisheries.gov.bd,<Response [200]>,not reachable
www.btrc.gov.bd,<Response [200]>,not reachable
www.land.gov.bd,not reachable,not reachable
www.dhakaeducationboard.gov.bd,<Response [200]>,<Response [200]>
secure.incometax.gov.bd,not reachable,not reachable
www.ivacbd.com,<Response [200]>,not reachable
www.juniv.edu,<Response [200]>,not reachable
viewer.com.bd,<Response [200]>,not reachable
services.nidw.gov.bd,<Response [200]>,<Response [200]>
books.google.com.bd,<Response [200]>,<Response [200]>
